latitude,longitude,calculated_host_listings_count,availability_365,neighbourhood,host_id
40.71577,-73.9553,1.0,1.0,214.0,9038810
40.84917,-73.94048,1.0,0.0,206.0,81745867
40.68993,-73.95947,2.0,0.0,13.0,1218837
40.68427,-73.93118,1.0,267.0,13.0,4126686
40.74705,-73.89564,1.0,0.0,220.0,27698133
40.76354,-73.99283,31.0,270.0,95.0,51501835
40.76786,-73.95639,1.0,43.0,201.0,7933261
40.73316,-74.00476,1.0,4.0,209.0,1499220
40.72527,-73.94803,1.0,0.0,91.0,56412357
40.6752,-73.94366,1.0,0.0,51.0,123605746
40.729,-73.98098,9.0,150.0,64.0,12485770
40.76193,-73.98573,65.0,338.0,191.0,200380610
40.69867,-73.91968,5.0,329.0,28.0,221645033
40.7233,-73.97882,1.0,0.0,64.0,26671786
40.68906,-73.98983,2.0,63.0,19.0,263883589
40.7479,-73.87496,2.0,170.0,68.0,41829977
40.70218,-73.93034,1.0,0.0,28.0,6814283
40.69265,-73.97009,2.0,112.0,80.0,13788158
40.79865,-73.95295,5.0,281.0,94.0,51991283
40.60111,-73.95702,1.0,124.0,175.0,70528858
40.80485,-73.9581,7.0,364.0,94.0,266726110
40.75644,-73.82875,1.0,0.0,77.0,11082255
40.71588,-73.94297,1.0,0.0,214.0,54743212
40.6844,-73.9358,1.0,89.0,13.0,38956453
40.8469,-73.94522,3.0,0.0,206.0,7474069
40.75068,-73.87739,1.0,57.0,104.0,225571766
40.6873,-73.97225,1.0,0.0,80.0,1281637
40.68515,-73.97381,1.0,41.0,80.0,35594087
40.66145,-73.96005,1.0,0.0,159.0,11497855
40.72713,-73.94141,52.0,327.0,91.0,7503643
40.72656,-73.98758,1.0,52.0,64.0,12913455
40.68055,-73.78263,1.0,180.0,105.0,245960335
40.74476,-73.9755,1.0,0.0,137.0,166873118
40.68634,-73.96161,6.0,199.0,41.0,51038
40.83571,-73.94179,5.0,364.0,206.0,71276635
40.69423,-73.91993,1.0,0.0,28.0,84523696
40.71972,-73.94462,8.0,161.0,214.0,49704571
40.85798,-73.92855,1.0,67.0,206.0,252445373
40.65468,-73.95703,1.0,0.0,74.0,70640302
40.72084,-73.9554,1.0,0.0,214.0,224806557
40.72317,-73.99084,1.0,0.0,119.0,81379480
40.72367,-73.98401,1.0,0.0,64.0,59493714
40.73326,-74.00604,1.0,0.0,209.0,6212988
40.68585,-73.94875,1.0,339.0,13.0,8261208
40.77906,-73.91265,1.0,243.0,54.0,6638763
40.80273,-73.91519,3.0,124.0,155.0,251704655
40.77372,-73.94803,1.0,341.0,201.0,5338040
40.73561,-73.95873,1.0,42.0,91.0,49290775
40.74005,-73.97884,232.0,312.0,112.0,107434423
40.63773,-73.91729,2.0,0.0,30.0,168619140
40.6932,-73.90639,3.0,0.0,28.0,156958091
40.65889,-73.95627,2.0,242.0,159.0,40830538
40.66048,-73.93335,1.0,7.0,60.0,102500495
40.6944,-73.83192,3.0,365.0,164.0,214738765
40.82083,-73.95436,1.0,213.0,94.0,23612276
40.76764,-73.91633,1.0,0.0,4.0,13270888
40.69462,-73.93249,1.0,0.0,13.0,9787070
40.73646,-73.98337,1.0,0.0,86.0,10732706
40.81142,-73.95134,3.0,106.0,94.0,2861768
40.78182,-73.91248,1.0,0.0,54.0,46407533
40.71238,-73.9559,1.0,0.0,214.0,8163703
40.72432,-73.98916,2.0,0.0,64.0,1355958
40.69513,-73.96245,1.0,0.0,41.0,7709326
40.75974,-73.97067,1.0,129.0,127.0,76168072
40.76203,-73.98191,7.0,230.0,191.0,261750091
40.76966,-73.96688,1.0,15.0,201.0,273078104
40.80951,-73.95347,1.0,32.0,94.0,257261595
40.81132,-73.92037,1.0,228.0,134.0,238118741
40.66818,-73.73399,1.0,282.0,171.0,235763046
40.69862,-73.92849,1.0,173.0,28.0,119990626
40.72246,-73.98006,1.0,0.0,64.0,50584770
40.72082,-73.99028,1.0,0.0,119.0,9644281
40.74668,-73.89723,2.0,0.0,220.0,23993707
40.69439,-73.9068,4.0,98.0,28.0,706623
40.73022,-73.98893,1.0,301.0,64.0,12749467
40.7281,-73.97952,1.0,0.0,64.0,8503277
40.81928,-73.90933,4.0,249.0,118.0,13750728
40.69025,-73.92491,1.0,179.0,13.0,106067584
40.63612,-73.946,4.0,328.0,60.0,1709216
40.7773,-73.97736,1.0,286.0,202.0,197082458
40.72963,-73.94937,1.0,0.0,91.0,54339185
40.74819,-73.97201,1.0,341.0,137.0,115844816
40.69286,-73.96993,1.0,190.0,80.0,9791461
40.62915,-73.9198,1.0,194.0,76.0,192874460
40.68064,-73.88285,3.0,365.0,52.0,167636238
40.68322,-73.93073,2.0,91.0,13.0,99494083
40.71018,-73.94057,1.0,36.0,214.0,3188892
40.76506,-73.93234,1.0,0.0,117.0,38908498
40.7889,-73.9729,1.0,9.0,202.0,17845933
40.73674,-73.98308,1.0,3.0,86.0,166861637
40.75709,-73.96327,1.0,278.0,127.0,68094755
40.68266,-73.94321,1.0,0.0,13.0,19474504
40.7867,-73.96951,1.0,5.0,202.0,3129709
40.68754,-73.91231,1.0,95.0,28.0,16954523
40.86066,-73.89883,1.0,363.0,78.0,266505967
40.71286,-73.98437,4.0,0.0,119.0,10134825
40.83155,-73.94804,4.0,355.0,94.0,33622924
40.68389,-73.96026,1.0,179.0,41.0,69890625
40.65892,-73.98386,1.0,74.0,216.0,8125932
40.72345,-74.01001,1.0,0.0,197.0,11243357
40.74606,-73.95765,1.0,0.0,117.0,480923
40.78111,-73.97739,1.0,176.0,202.0,263510
40.75685,-73.96388,1.0,0.0,127.0,55939980
40.72807,-73.98594,1.0,0.0,64.0,146944
40.71711,-73.8347,1.0,93.0,79.0,155977656
40.86699,-73.92689,1.0,64.0,103.0,16404967
40.76014,-73.96098,11.0,330.0,201.0,164886138
40.73226,-73.95285,1.0,0.0,91.0,5065719
40.84819,-73.90648,2.0,342.0,136.0,17264040
40.74588,-73.83284,6.0,121.0,77.0,228879817
40.62139,-74.0319,1.0,0.0,81.0,41762539
40.70468,-73.92443,3.0,0.0,28.0,115193518
40.79154,-73.94233,4.0,199.0,61.0,114477998
40.71239,-73.96178,1.0,0.0,214.0,14001033
40.61295,-73.95366,1.0,0.0,128.0,26022066
40.72564,-73.98088,1.0,0.0,64.0,2316568
40.81509,-73.96019,1.0,0.0,130.0,6648212
40.72167,-73.98066,1.0,365.0,64.0,164391402
40.80872,-73.94228,3.0,0.0,94.0,40703442
40.71193,-73.95956,2.0,141.0,214.0,22919533
40.74796,-73.97018,1.0,0.0,137.0,46714717
40.67603,-73.96941,1.0,0.0,158.0,1287826
40.77943,-73.9117,1.0,350.0,54.0,85667130
40.68194,-73.93567,2.0,45.0,13.0,2628658
40.70721,-73.95341,1.0,3.0,214.0,116126452
40.72272,-73.98379,232.0,330.0,64.0,107434423
40.67293,-73.93273,1.0,8.0,51.0,52132241
40.64434,-73.95288,2.0,311.0,74.0,81127692
40.75659,-73.93108,1.0,266.0,117.0,263272705
40.80652,-73.94937,1.0,19.0,94.0,225942423
40.66209,-73.92913,2.0,364.0,60.0,83809962
40.6837,-73.93325,1.0,0.0,13.0,29513490
40.704,-73.91492,1.0,198.0,28.0,3543204
40.62477,-73.95517,3.0,330.0,128.0,271162941
40.79874,-73.96034,1.0,0.0,202.0,35651880
40.71064,-73.87463,1.0,0.0,125.0,167568754
40.68946,-73.97279,1.0,125.0,80.0,3422235
40.68593,-73.95702,1.0,0.0,13.0,64426364
40.72104,-73.99498,3.0,59.0,145.0,1475812
40.70742,-73.94185,1.0,0.0,214.0,3248277
40.71801,-73.95244,1.0,249.0,214.0,253843480
40.86429,-73.90204,1.0,83.0,111.0,5971264
40.69169,-73.93142,2.0,340.0,13.0,38460304
40.73822,-74.00606,1.0,0.0,209.0,22984995
40.68792,-73.83752,1.0,130.0,150.0,40595718
40.67878,-73.9172,2.0,236.0,13.0,258035043
40.80569,-73.94848,3.0,302.0,94.0,8961407
40.75525,-73.99597,1.0,108.0,95.0,16223929
40.85415,-73.93108,1.0,0.0,206.0,36192346
40.7036,-73.92496,1.0,71.0,28.0,60235514
40.63747,-74.01153,1.0,281.0,190.0,4636483
40.66949,-73.92172,2.0,323.0,51.0,251625546
40.73485,-74.00313,65.0,326.0,209.0,200380610
40.69456,-73.96439,1.0,0.0,41.0,22264156
40.72133,-73.83928,5.0,235.0,79.0,196058543
40.66588,-73.97833,2.0,0.0,151.0,310458
40.76283,-73.99331,3.0,3.0,95.0,54454582
40.70964,-74.01798,1.0,43.0,6.0,76572037
40.64933,-73.96478,1.0,0.0,74.0,6662358
